"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.09 (-0.03-0.20)",0.189844895050008
"Brain","0.08 (-0.04-0.20)",0.202665453153183
"Cardiovascular","0.21 (0.08-0.33)",0.00413940525972873
"Endocrine","0.24 (0.12-0.36)",0.000522726430189305
"Gastrointestinal","0.37 (0.25-0.49)",7.15394102492036e-08
"Immune","0.16 (0.05-0.28)",0.0125100686829258
"Kidney_urinary","0.29 (0.17-0.41)",3.21949154840454e-05
"Liver","0.11 (-0.01-0.22)",0.104363975864512
"Lung","0.16 (0.04-0.27)",0.019839831410888
"Muscle","-0.08 (-0.20-0.03)",0.202665453153183
"Nerve","0.18 (0.05-0.30)",0.0125100686829258
"Ovary","0.08 (-0.09-0.24)",0.383937016417589
"Pancreas","0.09 (-0.03-0.20)",0.189844895050008
"Prostate","-0.20 (-0.39--0.02)",0.0627531515907663
"Skin","0.03 (-0.08-0.14)",0.600693157120503
