"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.02 (-0.04-0.08)",0.588115777849265
"Brain","-0.01 (-0.08-0.05)",0.707242840831004
"Cardiovascular","-0.04 (-0.11-0.02)",0.247833225223131
"Endocrine","-0.00 (-0.07-0.06)",0.903767614851062
"Gastrointestinal","-0.01 (-0.08-0.05)",0.739200842050779
"Immune","-0.06 (-0.12-0.01)",0.11723411764883
"Kidney_urinary","-0.04 (-0.10-0.03)",0.36032174834961
"Liver","-0.03 (-0.09-0.04)",0.49845557344824
"Lung","-0.03 (-0.09-0.04)",0.493582200653078
"Muscle","-0.04 (-0.10-0.02)",0.294103450006792
"Nerve","0.00 (-0.06-0.06)",0.999788462331061
"Ovary","-0.05 (-0.15-0.04)",0.309934568253103
"Pancreas","-0.03 (-0.09-0.04)",0.493582200653078
"Prostate","0.03 (-0.06-0.12)",0.574889428062836
"Skin","-0.03 (-0.10-0.03)",0.375399040098463
