"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.16 (0.11-0.20)",4.02891307398579e-11
"Brain","0.15 (0.11-0.19)",1.44979440602016e-12
"Cardiovascular","0.15 (0.10-0.20)",1.16492234097765e-09
"Endocrine","0.13 (0.09-0.16)",1.63127656631836e-10
"Gastrointestinal","0.21 (0.17-0.26)",2.08430695734519e-18
"Immune","0.20 (0.16-0.24)",3.58526297299639e-20
"Kidney_urinary","0.14 (0.10-0.17)",6.59972822314118e-15
"Liver","0.22 (0.18-0.27)",5.30463854365045e-21
"Lung","0.16 (0.11-0.20)",1.14088483320747e-12
"Muscle","0.04 (0.02-0.07)",7.86350849422939e-05
"Nerve","0.20 (0.14-0.25)",3.6342384725667e-12
"Ovary","0.08 (0.04-0.11)",2.08652737113692e-05
"Pancreas","0.06 (0.03-0.09)",0.000269675400033621
"Prostate","0.09 (0.02-0.15)",0.0108709445043728
"Skin","0.18 (0.13-0.23)",1.3583534418443e-12
