"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.05 (-0.08--0.02)",0.000365261750046317
"Brain","-0.08 (-0.10--0.05)",1.79371901938899e-08
"Cardiovascular","-0.07 (-0.09--0.04)",9.70070683761955e-07
"Endocrine","-0.09 (-0.11--0.06)",3.64125383536308e-09
"Gastrointestinal","-0.11 (-0.13--0.08)",3.60358590097372e-15
"Immune","-0.08 (-0.10--0.05)",1.26747767009302e-08
"Kidney_urinary","-0.12 (-0.15--0.09)",1.25731110063524e-17
"Liver","-0.12 (-0.14--0.09)",1.46451297968171e-18
"Lung","-0.04 (-0.07--0.01)",0.00271959310807194
"Muscle","-0.02 (-0.05-0.00)",0.112330110880366
"Nerve","-0.06 (-0.08--0.03)",2.35463021868419e-05
"Ovary","-0.01 (-0.05-0.02)",0.437803847412571
"Pancreas","-0.04 (-0.06--0.01)",0.00819408845822864
"Prostate","-0.06 (-0.10--0.01)",0.0104963433934996
"Skin","-0.06 (-0.09--0.03)",8.8986396454223e-06
