"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.36 (-0.42--0.29)",5.61334981919686e-23
"Brain","-0.31 (-0.34--0.29)",1.05647528021311e-112
"Cardiovascular","-0.33 (-0.36--0.30)",6.17732215081513e-113
"Endocrine","-0.34 (-0.40--0.29)",2.61737340200208e-35
"Gastrointestinal","-0.28 (-0.31--0.25)",1.60468126814131e-83
"Immune","-0.35 (-0.38--0.32)",1.82678321682377e-114
"Kidney_urinary","-0.36 (-0.39--0.32)",2.60804287657391e-82
"Liver","-0.29 (-0.32--0.26)",3.67073107681257e-103
"Lung","-0.31 (-0.36--0.26)",2.30904797726498e-30
"Muscle","-0.25 (-0.28--0.21)",1.02748781929035e-40
"Nerve","-0.32 (-0.35--0.29)",2.23339835069156e-93
"Ovary","-0.31 (-0.39--0.23)",1.36334856102391e-13
"Pancreas","-0.29 (-0.33--0.26)",6.09132384030966e-63
"Prostate","-0.23 (-0.27--0.19)",3.25142207193113e-28
"Skin","-0.31 (-0.34--0.27)",1.25857442248731e-73
