"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.01 (-0.03-0.04)",0.782692408225332
"Brain","-0.01 (-0.05-0.03)",0.642915840507718
"Cardiovascular","-0.02 (-0.07-0.02)",0.328528147821308
"Endocrine","-0.02 (-0.05-0.02)",0.38439503428066
"Gastrointestinal","-0.02 (-0.06-0.02)",0.369963454118507
"Immune","-0.00 (-0.04-0.03)",0.938362001516915
"Kidney_urinary","-0.05 (-0.08--0.01)",0.00737806531794008
"Liver","-0.01 (-0.05-0.03)",0.745658313700714
"Lung","-0.03 (-0.07-0.00)",0.080815137710103
"Muscle","0.00 (-0.03-0.04)",0.933544225695336
"Nerve","-0.01 (-0.04-0.03)",0.792610566312533
"Ovary","-0.02 (-0.05-0.02)",0.360264015289497
"Pancreas","-0.00 (-0.03-0.03)",0.913971608524484
"Skin","0.00 (-0.03-0.04)",0.877675496839324
