"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.08 (0.04-0.12)",2.49367500671567e-05
"Brain","0.13 (0.10-0.16)",9.49985037970837e-13
"Cardiovascular","0.05 (0.01-0.09)",0.00999501782377867
"Endocrine","0.09 (0.05-0.13)",8.08494673924341e-06
"Gastrointestinal","0.10 (0.07-0.14)",1.70605596335137e-08
"Immune","0.07 (0.03-0.10)",0.000260748989313975
"Kidney_urinary","0.15 (0.11-0.19)",1.41571040166637e-12
"Liver","0.10 (0.06-0.14)",1.16188576560383e-07
"Lung","0.07 (0.04-0.11)",0.000211715977401851
"Muscle","0.04 (-0.00-0.07)",0.0638072752673833
"Nerve","0.04 (0.01-0.08)",0.0265601153772337
"Ovary","0.03 (-0.01-0.06)",0.155722273566219
"Pancreas","0.03 (-0.01-0.06)",0.176134211200001
"Skin","0.11 (0.08-0.15)",1.99799773839653e-09
