"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.11 (0.08-0.15)",3.11694514578792e-09
"Brain","0.18 (0.14-0.22)",4.36172637289498e-15
"Cardiovascular","0.13 (0.09-0.17)",7.68975531078825e-09
"Endocrine","0.12 (0.08-0.16)",8.3315402774828e-08
"Gastrointestinal","0.16 (0.11-0.20)",3.14020665206062e-12
"Immune","0.17 (0.13-0.22)",2.85626036146916e-13
"Kidney_urinary","0.23 (0.19-0.27)",4.76543164313791e-25
"Liver","0.14 (0.10-0.18)",1.18524179176827e-10
"Lung","0.12 (0.08-0.16)",3.1061849344255e-08
"Muscle","0.10 (0.06-0.13)",1.69560114684172e-07
"Nerve","0.06 (0.02-0.10)",0.00690977618792845
"Ovary","0.09 (0.05-0.13)",3.50608656657948e-05
"Pancreas","0.12 (0.07-0.16)",1.78785358251707e-06
"Skin","0.12 (0.08-0.15)",5.50017133041348e-10
