"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.02 (-0.01-0.06)",0.255796488023803
"Brain","0.08 (0.04-0.11)",5.0139333303655e-05
"Cardiovascular","0.03 (-0.00-0.07)",0.09434086908858
"Endocrine","0.06 (0.03-0.10)",0.000677863530235089
"Gastrointestinal","0.06 (0.02-0.10)",0.00233300819327726
"Immune","0.11 (0.07-0.14)",1.45959904019885e-08
"Kidney_urinary","0.14 (0.10-0.18)",3.44597837572505e-13
"Liver","0.04 (0.01-0.08)",0.0215825102561877
"Lung","0.01 (-0.02-0.05)",0.460467352484335
"Muscle","0.07 (0.03-0.10)",0.000338710969300095
"Nerve","-0.00 (-0.04-0.03)",0.877675496839324
"Ovary","-0.01 (-0.05-0.02)",0.497561769100901
"Pancreas","0.05 (0.01-0.08)",0.00678576213152767
"Skin","0.07 (0.04-0.11)",0.000110022280587256
