"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.16 (0.08-0.24)",0.000319380574104115
"Brain","0.16 (0.09-0.23)",3.23998361630152e-05
"Cardiovascular","0.12 (0.04-0.20)",0.00405713866252969
"Endocrine","0.12 (0.06-0.18)",0.000114075634545499
"Gastrointestinal","0.20 (0.13-0.28)",6.67220955461555e-08
"Immune","0.19 (0.13-0.26)",3.94855902884291e-08
"Kidney_urinary","0.13 (0.08-0.18)",1.71172447959582e-06
"Liver","0.18 (0.11-0.25)",3.58564353967049e-06
"Lung","0.14 (0.07-0.22)",0.000193682816010322
"Muscle","0.04 (-0.00-0.08)",0.0851673802704531
"Nerve","0.16 (0.07-0.25)",0.00129825218346483
"Pancreas","0.07 (0.01-0.13)",0.0244040949442949
"Prostate","0.08 (0.02-0.14)",0.00792419226060728
"Skin","0.16 (0.08-0.23)",8.8085145155005e-05
