"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.05 (-0.09--0.02)",0.0050527728284966
"Brain","-0.10 (-0.14--0.06)",1.71172447959582e-06
"Cardiovascular","-0.10 (-0.14--0.06)",2.47101610652683e-06
"Endocrine","-0.11 (-0.16--0.06)",3.90432972568874e-05
"Gastrointestinal","-0.12 (-0.16--0.08)",6.74231399747021e-09
"Immune","-0.10 (-0.14--0.06)",1.8801743995542e-06
"Kidney_urinary","-0.14 (-0.18--0.10)",6.79686514792694e-10
"Liver","-0.17 (-0.21--0.13)",5.48106111461526e-16
"Lung","-0.08 (-0.11--0.04)",0.000108445809495623
"Muscle","-0.02 (-0.05-0.02)",0.451823176498827
"Nerve","-0.08 (-0.12--0.04)",0.000210680710573471
"Pancreas","-0.03 (-0.07-0.01)",0.116598549905731
"Prostate","-0.06 (-0.11--0.02)",0.00410341906083583
"Skin","-0.06 (-0.10--0.02)",0.00288694438235417
