"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.13 (0.08-0.17)",8.17578024204289e-08
"Brain","0.14 (0.10-0.18)",7.97245766076223e-11
"Cardiovascular","0.16 (0.12-0.20)",8.60032386529831e-14
"Endocrine","0.16 (0.12-0.20)",2.69820608256651e-12
"Gastrointestinal","0.13 (0.09-0.17)",1.64699090627167e-10
"Immune","0.14 (0.10-0.18)",1.39489138721443e-11
"Kidney_urinary","0.18 (0.14-0.22)",7.24698246536976e-17
"Liver","0.18 (0.14-0.22)",1.62966267860189e-16
"Lung","0.15 (0.11-0.19)",3.73419175654514e-12
"Muscle","0.12 (0.07-0.17)",1.38127376231476e-05
"Nerve","0.14 (0.10-0.18)",1.11026920695944e-10
"Pancreas","0.10 (0.06-0.14)",8.85913046141356e-06
"Prostate","0.09 (0.05-0.13)",3.66961375760674e-05
"Skin","0.11 (0.07-0.15)",5.56615628238383e-08
