"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.00 (-0.04-0.04)",0.93456489721538
"Brain","-0.03 (-0.07-0.00)",0.089846946726339
"Cardiovascular","-0.06 (-0.10--0.02)",0.00219986007075021
"Endocrine","-0.04 (-0.08-0.00)",0.0839666862340325
"Gastrointestinal","-0.00 (-0.04-0.04)",0.889320287232235
"Immune","-0.03 (-0.07-0.01)",0.159834148341993
"Kidney_urinary","-0.04 (-0.08--0.00)",0.0444995836797951
"Liver","-0.04 (-0.08--0.01)",0.031043572322187
"Lung","-0.00 (-0.04-0.04)",0.962090844596272
"Muscle","-0.02 (-0.06-0.01)",0.245276997685372
"Nerve","-0.03 (-0.07-0.01)",0.113416013557437
"Pancreas","-0.02 (-0.06-0.02)",0.429368486992337
"Prostate","0.03 (-0.01-0.07)",0.174010661163138
"Skin","-0.03 (-0.07-0.01)",0.126794283764632
