"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.07 (0.04-0.09)",4.63808664631147e-06
"Brain","0.12 (0.09-0.14)",7.12521286512335e-19
"Cardiovascular","0.05 (0.02-0.07)",0.000486605348528831
"Endocrine","0.10 (0.07-0.14)",1.05658390671941e-08
"Gastrointestinal","0.10 (0.07-0.12)",5.88659602008384e-13
"Immune","0.08 (0.06-0.11)",1.19797642394047e-09
"Kidney_urinary","0.16 (0.12-0.19)",5.32721947414903e-21
"Liver","0.10 (0.07-0.12)",1.44979440602016e-12
"Lung","0.06 (0.04-0.09)",1.68372424211678e-05
"Muscle","0.07 (0.04-0.09)",1.43038477478193e-06
"Nerve","0.05 (0.02-0.08)",0.000398916260148666
"Ovary","0.03 (-0.01-0.06)",0.143433060327386
"Pancreas","0.06 (0.03-0.08)",8.4099693189027e-05
"Prostate","-0.03 (-0.07-0.01)",0.160052687608458
"Skin","0.12 (0.09-0.15)",9.46402934093697e-19
