"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.07 (0.02-0.12)",0.00599086307249848
"Brain","0.15 (0.10-0.19)",1.90213750855688e-09
"Cardiovascular","0.10 (0.05-0.15)",0.000104891393377709
"Endocrine","0.16 (0.10-0.22)",3.17586162425639e-07
"Gastrointestinal","0.14 (0.09-0.19)",8.17802495074612e-07
"Immune","0.14 (0.09-0.19)",1.04258558650486e-08
"Kidney_urinary","0.25 (0.19-0.31)",4.51565959785584e-16
"Liver","0.09 (0.05-0.14)",0.000104891393377709
"Lung","0.07 (0.02-0.11)",0.00519374550315936
"Muscle","0.12 (0.06-0.18)",0.000115577712066189
"Nerve","0.06 (0.02-0.11)",0.0104643533048548
"Pancreas","0.19 (0.14-0.24)",1.01827052503099e-11
"Prostate","-0.07 (-0.12--0.03)",0.00157260139601377
"Skin","0.12 (0.07-0.18)",1.51529514303048e-05
