"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.01 (-0.05-0.04)",0.838059532426808
"Brain","0.11 (0.07-0.15)",6.33370387277042e-07
"Cardiovascular","0.03 (-0.02-0.07)",0.257244941608614
"Endocrine","0.07 (0.03-0.11)",0.00217871461340215
"Gastrointestinal","0.04 (-0.00-0.08)",0.0922366752749992
"Immune","0.09 (0.05-0.14)",5.57697852937782e-05
"Kidney_urinary","0.14 (0.10-0.18)",9.26991073832907e-10
"Liver","0.04 (0.00-0.09)",0.0552883221823904
"Lung","-0.03 (-0.07-0.02)",0.238883636464331
"Muscle","0.04 (0.00-0.08)",0.0579963024376595
"Nerve","-0.02 (-0.06-0.03)",0.53116612502363
"Pancreas","0.04 (-0.01-0.08)",0.108794233747105
"Prostate","-0.07 (-0.11--0.03)",0.00246323783421867
"Skin","0.01 (-0.04-0.06)",0.689929277090179
