"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.06 (-0.08--0.03)",1.08874196388686e-05
"Brain","-0.08 (-0.11--0.06)",1.86715610984455e-09
"Cardiovascular","-0.07 (-0.10--0.05)",1.09536586679053e-07
"Endocrine","-0.08 (-0.11--0.06)",2.34527727455288e-09
"Gastrointestinal","-0.10 (-0.13--0.08)",7.04127926340753e-15
"Immune","-0.08 (-0.11--0.05)",8.07665010992272e-09
"Kidney_urinary","-0.12 (-0.15--0.09)",1.08548601059916e-18
"Liver","-0.12 (-0.15--0.10)",1.27218352947082e-20
"Lung","-0.04 (-0.07--0.02)",0.00136921225299693
"Muscle","-0.02 (-0.05-0.01)",0.146926388669212
"Nerve","-0.06 (-0.09--0.03)",6.41614711798946e-06
"Ovary","-0.02 (-0.05-0.02)",0.312197082260066
"Pancreas","-0.04 (-0.06--0.01)",0.00795234147489336
"Prostate","-0.06 (-0.11--0.02)",0.00382597960415991
"Skin","-0.06 (-0.09--0.03)",6.39299414348483e-06
