"Organ","Effect Size (95% CI)","FDR"
"Adipose","1.05 (1.00-1.11)",0.0849986325249829
"Brain","1.11 (1.05-1.17)",0.000267961355521125
"Cardiovascular","1.16 (1.10-1.23)",2.62486137523754e-07
"Endocrine","1.23 (1.15-1.31)",5.46688169521936e-10
"Gastrointestinal","1.37 (1.30-1.45)",4.4468270030592e-27
"Immune","1.15 (1.09-1.22)",5.77277112250442e-07
"Kidney_urinary","1.29 (1.22-1.37)",1.21694679466019e-15
"Liver","1.11 (1.05-1.17)",0.000428654170989224
"Lung","1.25 (1.18-1.33)",4.82899259395698e-12
"Muscle","0.99 (0.94-1.05)",0.832096117930065
"Nerve","1.18 (1.12-1.25)",1.91178708293607e-08
"Ovary","1.02 (0.95-1.10)",0.656653612443504
"Pancreas","1.09 (1.03-1.15)",0.00345752976669308
"Prostate","0.87 (0.80-0.95)",0.00184857144648009
"Skin","1.01 (0.96-1.07)",0.747590254034757
