"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.08 (0.05-0.10)",3.04297781110859e-08
"Brain","0.13 (0.10-0.15)",3.08082806624937e-21
"Cardiovascular","0.05 (0.02-0.07)",0.000439378734990393
"Endocrine","0.10 (0.06-0.13)",5.96284550009672e-09
"Gastrointestinal","0.09 (0.07-0.12)",1.56048433276486e-11
"Immune","0.07 (0.05-0.10)",6.70703723296841e-08
"Kidney_urinary","0.16 (0.13-0.19)",2.76693318953504e-23
"Liver","0.10 (0.07-0.12)",9.12573697458878e-13
"Lung","0.07 (0.04-0.09)",1.57450624572913e-06
"Muscle","0.05 (0.02-0.07)",0.000780787857015479
"Nerve","0.05 (0.02-0.07)",0.000778668205164903
"Ovary","0.03 (-0.01-0.06)",0.146926388669212
"Pancreas","0.05 (0.03-0.08)",0.000122658536868134
"Prostate","-0.07 (-0.12--0.03)",0.00166475467187524
"Skin","0.12 (0.10-0.15)",3.44679791631078e-19
