"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.01 (-0.02-0.03)",0.559805056592126
"Brain","0.07 (0.05-0.09)",2.46493779824327e-09
"Cardiovascular","0.02 (-0.00-0.04)",0.0964941696300807
"Endocrine","0.06 (0.03-0.08)",1.35681949848808e-06
"Gastrointestinal","0.04 (0.02-0.07)",0.000357781276126015
"Immune","0.08 (0.06-0.11)",1.41934767244115e-12
"Kidney_urinary","0.11 (0.09-0.14)",1.30469208828732e-21
"Liver","0.04 (0.02-0.07)",0.000205847506064273
"Lung","0.00 (-0.02-0.02)",0.852137373983455
"Muscle","0.05 (0.03-0.07)",4.76340462236733e-06
"Nerve","-0.01 (-0.03-0.02)",0.644417988054578
"Ovary","-0.02 (-0.05-0.02)",0.347125720416113
"Pancreas","0.04 (0.02-0.06)",0.00029035581916726
"Prostate","-0.05 (-0.09--0.00)",0.0353499019957105
"Skin","0.04 (0.02-0.06)",0.000431743060699979
