"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.01 (-0.05-0.02)",0.526105119844366
"Brain","-0.07 (-0.11--0.04)",0.000223819586637436
"Cardiovascular","-0.06 (-0.10--0.03)",0.00153915690236209
"Endocrine","-0.04 (-0.08--0.00)",0.0429207823843484
"Gastrointestinal","-0.08 (-0.12--0.05)",1.45336265970877e-05
"Immune","-0.05 (-0.08--0.01)",0.0145029974927394
"Kidney_urinary","-0.06 (-0.10--0.03)",0.0009357798921761
"Liver","-0.07 (-0.11--0.03)",0.000246145988847319
"Lung","-0.03 (-0.06-0.01)",0.184437957495453
"Muscle","-0.01 (-0.04-0.03)",0.769115697802789
"Nerve","-0.07 (-0.11--0.03)",0.00023739926122967
"Ovary","-0.03 (-0.08-0.02)",0.296059914738235
"Pancreas","-0.04 (-0.08--0.01)",0.0349717448356114
"Prostate","-0.03 (-0.08-0.03)",0.42356634518519
"Skin","-0.04 (-0.08--0.00)",0.0449645895430373
