"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.35 (-0.41--0.29)",5.46231429758855e-27
"Brain","-0.33 (-0.39--0.27)",8.30473982536177e-24
"Cardiovascular","-0.39 (-0.45--0.33)",2.19175214857315e-34
"Endocrine","-0.37 (-0.43--0.31)",4.0427495621777e-30
"Gastrointestinal","-0.29 (-0.35--0.22)",4.24106152037076e-18
"Immune","-0.39 (-0.45--0.33)",2.45055994450519e-33
"Kidney_urinary","-0.41 (-0.47--0.35)",4.09331432161924e-37
"Liver","-0.32 (-0.38--0.26)",1.79542439304469e-22
"Lung","-0.31 (-0.37--0.25)",1.16538814006223e-21
"Muscle","-0.24 (-0.30--0.18)",1.84820317871993e-12
"Nerve","-0.35 (-0.41--0.29)",1.45676332976563e-26
"Ovary","-0.28 (-0.37--0.19)",4.80093312232518e-09
"Pancreas","-0.32 (-0.38--0.25)",5.43092837067381e-22
"Prostate","-0.29 (-0.38--0.21)",8.12517513799714e-10
"Skin","-0.32 (-0.38--0.26)",4.56255322505935e-23
