"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.10 (-0.23-0.03)",0.151130299901866
"Brain","-0.19 (-0.32--0.06)",0.0317683393217191
"Cardiovascular","-0.18 (-0.32--0.04)",0.0348196697912801
"Endocrine","-0.11 (-0.24-0.03)",0.143768285988559
"Gastrointestinal","-0.11 (-0.24-0.03)",0.143768285988559
"Immune","-0.10 (-0.23-0.02)",0.143768285988559
"Kidney_urinary","-0.14 (-0.27--0.01)",0.0706671760831913
"Liver","-0.22 (-0.36--0.09)",0.0144143503182972
"Lung","-0.13 (-0.26--0.00)",0.0747101055431896
"Muscle","-0.18 (-0.31--0.04)",0.0348196697912801
"Nerve","-0.17 (-0.30--0.03)",0.0348196697912801
"Ovary","-0.28 (-0.50--0.05)",0.0348196697912801
"Pancreas","-0.06 (-0.19-0.07)",0.359811719002624
"Prostate","-0.01 (-0.22-0.19)",0.888378758578827
"Skin","-0.16 (-0.29--0.03)",0.0348196697912801
