"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.05 (0.01-0.09)",0.0101905219210202
"Brain","0.06 (0.02-0.10)",0.00194490261406988
"Cardiovascular","0.13 (0.09-0.17)",5.90220424615173e-12
"Endocrine","0.10 (0.07-0.14)",8.03422507374827e-08
"Gastrointestinal","0.09 (0.06-0.13)",1.38323996801272e-06
"Immune","0.10 (0.07-0.14)",8.56732098324821e-08
"Kidney_urinary","0.15 (0.12-0.19)",8.88980682744053e-16
"Liver","0.11 (0.08-0.15)",2.65695279078466e-09
"Lung","0.08 (0.04-0.11)",4.75931565494735e-05
"Muscle","0.08 (0.04-0.11)",6.11330939863091e-05
"Nerve","0.06 (0.03-0.10)",0.00112649314024285
"Ovary","0.11 (0.06-0.16)",2.0611586602113e-05
"Pancreas","0.10 (0.06-0.13)",2.67136174979394e-07
"Prostate","-0.03 (-0.09-0.03)",0.380849946093666
"Skin","0.10 (0.06-0.13)",3.01878306761299e-07
