"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.05 (-0.01-0.10)",0.17678723164548
"Brain","0.16 (0.10-0.21)",2.52715002104604e-07
"Cardiovascular","0.10 (0.05-0.16)",0.00122767031805108
"Endocrine","0.08 (0.02-0.14)",0.0148640877202274
"Gastrointestinal","0.13 (0.07-0.18)",6.68119695718918e-05
"Immune","0.11 (0.06-0.17)",0.000275817981513966
"Kidney_urinary","0.17 (0.11-0.22)",7.18696164604496e-08
"Liver","0.08 (0.02-0.13)",0.0159911747786846
"Lung","0.09 (0.03-0.14)",0.00779698994299115
"Muscle","0.07 (0.01-0.13)",0.0318934846981803
"Nerve","0.07 (0.01-0.13)",0.033922295921924
"Ovary","0.11 (0.04-0.19)",0.00608381213553602
"Pancreas","0.13 (0.07-0.18)",5.0067910064451e-05
"Prostate","-0.05 (-0.14-0.04)",0.358304825603718
"Skin","0.10 (0.04-0.15)",0.00194327687044034
