"Organ","OR (95% CI)","FDR"
"Adipose","1.17 (0.95-1.44)",0.3797742175851
"Brain","1.18 (0.94-1.49)",0.3797742175851
"Cardiovascular","0.93 (0.74-1.18)",0.913522202649286
"Endocrine","0.95 (0.76-1.18)",0.913522202649286
"Gastrointestinal","1.24 (1.04-1.48)",0.125910825147353
"Immune","1.03 (0.83-1.29)",0.913522202649286
"Kidney and Bladder","1.00 (0.80-1.24)",0.988788386917727
"Liver","0.96 (0.78-1.19)",0.913522202649286
"Lung","1.19 (0.96-1.48)",0.3797742175851
"Muscle","0.98 (0.80-1.20)",0.927553441214915
"Nerve","0.97 (0.78-1.20)",0.913522202649286
"Ovary",NA,NA
"Pancreas","1.05 (0.84-1.31)",0.913522202649286
"Prostate","1.28 (1.04-1.57)",0.125910825147353
"Skin","1.25 (1.01-1.55)",0.179696483495067
