"Organ","OR (95% CI)","FDR"
"Adipose","1.48 (1.27-1.73)",1.76609812360289e-06
"Brain","1.68 (1.43-1.98)",1.1755496856948e-09
"Cardiovascular","1.62 (1.40-1.89)",1.1755496856948e-09
"Endocrine","1.31 (1.09-1.58)",0.00561145060113265
"Gastrointestinal","1.47 (1.22-1.77)",9.18868578324697e-05
"Immune","1.56 (1.35-1.80)",5.94090767472649e-09
"Kidney and Bladder","1.41 (1.21-1.66)",3.70721483494051e-05
"Liver","1.76 (1.49-2.08)",9.56178106877794e-10
"Lung","1.37 (1.16-1.61)",0.000323068546206285
"Muscle","1.40 (1.06-1.85)",0.0197862353530291
"Nerve","1.66 (1.40-1.96)",1.2622262085486e-08
"Ovary","1.50 (1.20-1.86)",0.000365970243188823
"Pancreas","1.52 (1.25-1.86)",7.14354611241688e-05
"Prostate","1.42 (1.14-1.78)",0.00269217515913373
"Skin","1.25 (1.02-1.54)",0.0326076399148782
