"Organ","OR (95% CI)","FDR"
"Adipose","1.39 (1.21-1.59)",1.45366431919947e-05
"Brain","1.39 (1.18-1.64)",0.000181794898006684
"Cardiovascular","1.45 (1.26-1.67)",2.17589338519386e-06
"Endocrine","1.28 (1.10-1.48)",0.00211268694304239
"Gastrointestinal","1.36 (1.16-1.58)",0.000252165933425249
"Immune","1.39 (1.20-1.60)",2.33396980065797e-05
"Kidney and Bladder","1.20 (1.02-1.41)",0.0324527580145038
"Liver","1.37 (1.18-1.59)",9.76262465790788e-05
"Lung","1.19 (1.03-1.37)",0.0278257246695227
"Muscle","1.18 (1.03-1.35)",0.0226873821228739
"Nerve","1.42 (1.23-1.63)",9.60619965103794e-06
"Ovary","1.57 (1.22-2.01)",0.00074822944784473
"Pancreas","1.21 (1.03-1.42)",0.0282309026644689
"Prostate","1.11 (0.92-1.33)",0.314334731426525
"Skin","1.05 (0.90-1.23)",0.532664616768379
