"Organ","OR (95% CI)","FDR"
"Adipose","2.12 (1.79-2.52)",2.40564607193994e-17
"Brain","2.36 (1.95-2.85)",4.50363227611207e-18
"Cardiovascular","2.26 (1.91-2.67)",8.97121730639596e-21
"Endocrine","2.06 (1.71-2.48)",7.56044246817217e-14
"Gastrointestinal","2.09 (1.77-2.48)",5.05725208143514e-17
"Immune","2.14 (1.81-2.54)",4.50363227611207e-18
"Kidney and Bladder","2.03 (1.71-2.40)",1.0481794364446e-15
"Liver","2.35 (1.94-2.85)",1.54398769047625e-17
"Lung","1.94 (1.59-2.36)",5.57767573806832e-11
"Muscle","1.83 (1.23-2.72)",0.0029359242290008
"Nerve","2.47 (1.99-3.07)",7.3961693643601e-16
"Ovary","2.15 (1.58-2.91)",9.53457959991421e-07
"Pancreas","2.11 (1.69-2.63)",5.81601200546894e-11
"Prostate","1.88 (1.50-2.36)",4.57262431251294e-08
"Skin","1.99 (1.68-2.36)",6.47942216553349e-15
