"Organ","OR (95% CI)","FDR"
"Adipose","1.47 (1.28-1.69)",9.90948121471326e-08
"Brain","1.50 (1.31-1.72)",1.38710624891939e-08
"Cardiovascular","1.60 (1.42-1.81)",4.9639432727465e-14
"Endocrine","1.65 (1.46-1.88)",4.9639432727465e-14
"Gastrointestinal","1.48 (1.30-1.69)",1.77714671373526e-08
"Immune","1.50 (1.34-1.69)",2.27356019324131e-11
"Kidney and Bladder","1.63 (1.44-1.84)",4.9639432727465e-14
"Liver","1.46 (1.28-1.67)",2.91709050753013e-08
"Lung","1.32 (1.15-1.52)",8.40080001548955e-05
"Muscle","1.28 (1.08-1.53)",0.00611136035654275
"Nerve","1.43 (1.23-1.67)",4.47645386041626e-06
"Ovary","1.58 (1.29-1.94)",1.85470603502552e-05
"Pancreas","1.59 (1.39-1.82)",4.5127335232056e-11
"Prostate","1.19 (0.99-1.42)",0.0568006402983997
"Skin","1.33 (1.16-1.53)",8.00998692303452e-05
