"Organ","OR (95% CI)","FDR"
"Adipose","1.88 (1.15-3.08)",0.0249714737088026
"Brain","2.04 (1.23-3.39)",0.0249714737088026
"Cardiovascular","2.02 (1.22-3.33)",0.0249714737088026
"Endocrine","1.36 (0.91-2.04)",0.148622679133067
"Gastrointestinal","1.83 (1.15-2.92)",0.0249714737088026
"Immune","2.16 (1.22-3.83)",0.0249714737088026
"Kidney and Bladder","1.45 (0.95-2.19)",0.111975732161692
"Liver","1.98 (1.18-3.30)",0.0249714737088026
"Lung","1.48 (0.95-2.30)",0.111975732161692
"Muscle","1.60 (1.00-2.58)",0.0872805271814619
"Nerve","2.12 (1.33-3.39)",0.0237854421302381
"Ovary","2.53 (1.12-5.71)",0.0485826459483082
"Pancreas","1.30 (0.86-1.95)",0.212628498345252
"Prostate","1.60 (0.88-2.91)",0.147994061770852
"Skin","1.38 (0.91-2.08)",0.147994061770852
