"Organ","OR (95% CI)","FDR"
"Adipose","1.47 (1.08-2.00)",0.153092184506561
"Brain","1.14 (0.85-1.53)",0.493931833024923
"Cardiovascular","1.30 (0.96-1.76)",0.298354162541196
"Endocrine","1.19 (0.89-1.61)",0.493931833024923
"Gastrointestinal","1.28 (0.95-1.72)",0.298354162541196
"Immune","1.14 (0.87-1.50)",0.493931833024923
"Kidney and Bladder","1.14 (0.85-1.53)",0.493931833024923
"Liver","1.23 (0.93-1.63)",0.374715621217793
"Lung","1.33 (0.98-1.79)",0.298354162541196
"Muscle","1.15 (0.82-1.59)",0.493931833024923
"Nerve","1.47 (1.06-2.04)",0.153092184506561
"Ovary","1.06 (0.68-1.65)",0.866914728656015
"Pancreas","1.17 (0.89-1.56)",0.493931833024923
"Prostate","1.20 (0.77-1.87)",0.493931833024923
"Skin","1.02 (0.77-1.37)",0.866914728656015
