"Organ","OR (95% CI)","FDR"
"Adipose","1.52 (1.17-1.98)",0.0023930436288733
"Brain","1.85 (1.40-2.43)",6.44417896132734e-05
"Cardiovascular","1.99 (1.47-2.70)",6.44417896132734e-05
"Endocrine","1.75 (1.32-2.30)",0.000226853620351333
"Gastrointestinal","1.39 (1.09-1.78)",0.00841164546453822
"Immune","1.91 (1.42-2.57)",8.33310335332853e-05
"Kidney and Bladder","1.78 (1.33-2.38)",0.000226853620351333
"Liver","1.60 (1.23-2.07)",0.000861285189142419
"Lung","1.46 (1.14-1.87)",0.00300831450561959
"Muscle","1.53 (1.18-1.97)",0.0018797382513907
"Nerve","1.75 (1.32-2.32)",0.000226853620351333
"Ovary","2.31 (1.41-3.79)",0.00156348394628433
"Pancreas","2.08 (1.55-2.79)",1.4103968588458e-05
"Prostate","1.50 (1.04-2.17)",0.0285178000644782
"Skin","1.43 (1.10-1.86)",0.00899069910351027
