"Organ","OR (95% CI)","FDR"
"Adipose","1.79 (0.99-3.21)",0.157279369901221
"Brain","1.87 (1.07-3.26)",0.13924525918584
"Cardiovascular","1.27 (0.71-2.27)",0.415813473298857
"Endocrine","1.77 (1.01-3.08)",0.157279369901221
"Gastrointestinal","1.35 (0.84-2.18)",0.255389922410317
"Immune","2.20 (1.20-4.02)",0.0769392339115062
"Kidney and Bladder","1.66 (0.91-3.03)",0.187972537707661
"Liver","1.58 (0.86-2.89)",0.189218386126249
"Lung","1.58 (0.91-2.74)",0.187972537707661
"Muscle","1.42 (0.90-2.25)",0.189218386126249
"Nerve","1.50 (0.81-2.77)",0.25027017874687
"Ovary","1.96 (0.87-4.44)",0.187972537707661
"Pancreas","2.20 (1.23-3.92)",0.0769392339115062
"Prostate","1.52 (0.74-3.11)",0.269393735640982
"Skin","1.66 (0.89-3.10)",0.187972537707661
