"Organ","OR (95% CI)","FDR"
"Adipose","1.27 (0.73-2.22)",0.719126397478251
"Brain","1.47 (0.80-2.69)",0.719126397478251
"Cardiovascular","1.71 (0.96-3.05)",0.719126397478251
"Endocrine","0.88 (0.49-1.57)",0.739373165914995
"Gastrointestinal","1.18 (0.68-2.05)",0.719126397478251
"Immune","1.44 (0.84-2.47)",0.719126397478251
"Kidney and Bladder","1.20 (0.64-2.24)",0.719126397478251
"Liver","1.21 (0.71-2.06)",0.719126397478251
"Lung","1.17 (0.71-1.94)",0.719126397478251
"Muscle","0.80 (0.44-1.44)",0.719126397478251
"Nerve","1.36 (0.82-2.25)",0.719126397478251
"Ovary","0.93 (0.56-1.54)",0.769575609980405
"Pancreas","0.70 (0.36-1.37)",0.719126397478251
"Skin","1.11 (0.66-1.88)",0.739373165914995
