"Organ","OR (95% CI)","FDR"
"Adipose","7.8e+00 (2.4e+00-2.6e+01)",0.00357933010570636
"Brain","3.30 (1.58-6.91)",0.00357933010570636
"Cardiovascular","4.5e+00 (1.8e+00-1.1e+01)",0.00357933010570636
"Endocrine","3.76 (1.58-8.96)",0.00417110459998577
"Gastrointestinal","2.72 (1.38-5.35)",0.0050764143400717
"Immune","5.2e+00 (1.9e+00-1.5e+01)",0.00357933010570636
"Kidney and Bladder","4.9e+00 (1.8e+00-1.4e+01)",0.00417110459998577
"Liver","4.4e+00 (1.8e+00-1.1e+01)",0.00357933010570636
"Lung","3.57 (1.63-7.83)",0.00357933010570636
"Muscle","2.57 (1.26-5.27)",0.0112066198860522
"Nerve","1.2e+01 (2.8e+00-4.7e+01)",0.00357933010570636
"Ovary","3.9e+00 (1.2e+00-1.3e+01)",0.0259661952274784
"Pancreas","2.87 (1.44-5.74)",0.00417110459998577
"Prostate","2.35 (1.01-5.43)",0.0461023039627508
"Skin","2.41 (1.28-4.52)",0.00784354290538684
