"Organ","Effect Size","FDR"
"Adipose","0.89 (0.83-0.95)",0.00135819900899118
"Brain","0.80 (0.74-0.85)",3.59421275737371e-10
"Cardiovascular","0.82 (0.76-0.88)",3.12665631455955e-08
"Endocrine","0.87 (0.81-0.93)",7.78826617946792e-05
"Gastrointestinal","0.82 (0.76-0.87)",3.41153952716415e-09
"Immune","0.84 (0.79-0.90)",1.171934552555e-06
"Kidney_urinary","0.80 (0.74-0.85)",3.59421275737371e-10
"Liver","0.78 (0.73-0.84)",8.36557443953729e-12
"Lung","0.86 (0.80-0.92)",2.41867508606919e-05
"Muscle","0.85 (0.79-0.91)",5.58081541849158e-06
"Nerve","0.84 (0.78-0.90)",7.57579553980446e-07
"Ovary","0.84 (0.76-0.92)",0.000549748299135953
"Pancreas","0.93 (0.87-1.00)",0.0482910829310488
"Prostate","0.99 (0.89-1.09)",0.79286560752412
"Skin","0.82 (0.77-0.88)",2.21916486220864e-08
