"Organ","Effect Size","FDR"
"Adipose","0.09 (0.07-0.12)",1.16539520747013e-10
"Brain","0.15 (0.12-0.17)",1.39980429413292e-23
"Cardiovascular","0.14 (0.11-0.17)",1.35781556168096e-21
"Endocrine","0.13 (0.10-0.15)",2.85666421792585e-19
"Gastrointestinal","0.13 (0.11-0.16)",6.84114375378158e-22
"Immune","0.16 (0.14-0.19)",4.20660068619792e-32
"Kidney_urinary","0.17 (0.14-0.19)",7.08694514625721e-34
"Liver","0.14 (0.11-0.17)",5.81027984490768e-23
"Lung","0.10 (0.07-0.13)",2.15746922719859e-12
"Muscle","0.10 (0.07-0.13)",4.34538642110735e-11
"Nerve","0.12 (0.09-0.15)",1.88378877115742e-17
"Ovary","0.10 (0.06-0.14)",2.95759049146564e-07
"Pancreas","0.09 (0.06-0.12)",1.70116203816173e-10
"Prostate","0.09 (0.05-0.13)",2.83958207433855e-05
"Skin","0.10 (0.07-0.13)",1.40786983686181e-12
