"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.16 (0.10-0.21)",2.12626457430383e-08
"Brain","0.12 (0.08-0.17)",1.22128738840426e-07
"Cardiovascular","0.18 (0.12-0.24)",2.27988640879803e-08
"Endocrine","0.13 (0.08-0.18)",2.8868825924642e-07
"Gastrointestinal","0.22 (0.15-0.29)",1.2304416545171e-09
"Immune","0.20 (0.14-0.27)",1.17341291844244e-09
"Kidney_urinary","0.13 (0.08-0.18)",9.75494571826746e-07
"Liver","0.24 (0.18-0.30)",4.12080786021434e-14
"Lung","0.18 (0.12-0.23)",1.59420669775032e-08
"Muscle","0.04 (-0.00-0.07)",0.0898894425483659
"Nerve","0.22 (0.16-0.27)",4.10905645357623e-12
"Ovary","0.08 (0.04-0.12)",0.000144081828912002
"Pancreas","0.04 (0.00-0.08)",0.0800470137744729
"Skin","0.18 (0.11-0.25)",5.56270823923792e-07
