"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.31 (-0.41--0.21)",4.91077227664116e-09
"Brain","-0.30 (-0.34--0.26)",2.30025725788046e-53
"Cardiovascular","-0.33 (-0.37--0.29)",2.95681625087885e-54
"Endocrine","-0.34 (-0.40--0.27)",6.35760060779984e-23
"Gastrointestinal","-0.28 (-0.32--0.24)",4.321369429949e-45
"Immune","-0.33 (-0.38--0.29)",6.62388937691796e-45
"Kidney_urinary","-0.35 (-0.40--0.30)",4.321369429949e-45
"Liver","-0.31 (-0.35--0.27)",1.11035828398815e-59
"Lung","-0.31 (-0.40--0.21)",5.54531750218461e-10
"Muscle","-0.26 (-0.30--0.23)",3.48617707719313e-39
"Nerve","-0.31 (-0.36--0.27)",1.34762251801243e-40
"Ovary","-0.33 (-0.41--0.25)",3.00725191894109e-14
"Pancreas","-0.30 (-0.34--0.25)",1.8350431615512e-38
"Skin","-0.26 (-0.30--0.22)",1.71152080964243e-36
