"Organ","Effect Size (95% CI)","FDR"
"Adipose","1.12 (1.03-1.20)",0.00712520643418518
"Brain","1.19 (1.10-1.28)",1.51805490811736e-05
"Cardiovascular","1.20 (1.12-1.30)",5.65786064258918e-06
"Endocrine","1.26 (1.15-1.38)",1.31036760807297e-06
"Gastrointestinal","1.39 (1.29-1.50)",1.5835595164738e-16
"Immune","1.17 (1.09-1.27)",9.81103882431297e-05
"Kidney_urinary","1.32 (1.21-1.44)",4.63418932217117e-09
"Liver","1.08 (1.00-1.16)",0.0755384583336746
"Lung","1.30 (1.19-1.41)",1.63362740209125e-08
"Muscle","1.01 (0.93-1.08)",0.871145444308076
"Nerve","1.24 (1.15-1.34)",2.68604748781804e-07
"Ovary","1.06 (0.97-1.15)",0.225750891696511
"Pancreas","1.12 (1.04-1.21)",0.00611233757943094
"Skin","1.04 (0.96-1.12)",0.344746004836888
