"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.05 (0.01-0.10)",0.0489301726085676
"Brain","0.12 (0.08-0.16)",1.22877249545396e-08
"Cardiovascular","0.10 (0.06-0.14)",2.71645839797091e-06
"Endocrine","0.08 (0.04-0.12)",0.000128884371910758
"Gastrointestinal","0.12 (0.08-0.16)",1.51826356024953e-08
"Immune","0.15 (0.11-0.19)",1.29805179192202e-11
"Kidney_urinary","0.13 (0.09-0.17)",5.64784582777967e-10
"Liver","0.11 (0.07-0.15)",8.84914697086765e-07
"Lung","0.05 (0.01-0.10)",0.0269958112675622
"Muscle","0.06 (0.03-0.10)",0.00146367396645427
"Nerve","0.09 (0.05-0.13)",6.17468235105002e-05
"Ovary","0.08 (0.04-0.13)",0.000168707870653017
"Pancreas","0.07 (0.03-0.11)",0.000904469914423022
"Skin","0.06 (0.03-0.10)",0.00150673893155261
