"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.03 (-0.01-0.06)",0.242653245399918
"Brain","0.02 (-0.02-0.06)",0.462163017004322
"Cardiovascular","-0.02 (-0.06-0.03)",0.493759380306363
"Endocrine","-0.01 (-0.05-0.03)",0.76560551289615
"Gastrointestinal","-0.03 (-0.07-0.01)",0.251550441576698
"Immune","-0.00 (-0.04-0.04)",0.91074176509299
"Kidney_urinary","-0.03 (-0.07-0.00)",0.131781654700478
"Liver","0.01 (-0.04-0.05)",0.730440595454074
"Lung","-0.01 (-0.05-0.02)",0.53851979258348
"Muscle","0.03 (-0.01-0.07)",0.236435673503773
"Nerve","-0.00 (-0.04-0.04)",0.919295342081736
"Ovary","-0.01 (-0.04-0.03)",0.730440595454074
"Pancreas","-0.00 (-0.04-0.03)",0.891405319781378
"Skin","0.03 (-0.01-0.07)",0.163889094751581
