"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (0.03-0.09)",0.000543167619035867
"Brain","0.10 (0.05-0.15)",0.000116135621674553
"Cardiovascular","0.09 (0.04-0.13)",0.000225190814907114
"Endocrine","0.07 (0.03-0.11)",0.00138385976134844
"Gastrointestinal","0.09 (0.05-0.13)",0.000130026890744018
"Immune","0.12 (0.07-0.17)",6.70302463558811e-06
"Kidney_urinary","0.14 (0.10-0.18)",3.11299308734473e-11
"Liver","0.06 (0.02-0.10)",0.00703361148199203
"Lung","0.07 (0.03-0.11)",0.00110000772742136
"Muscle","0.07 (0.03-0.11)",0.000678293590558308
"Nerve","0.03 (-0.01-0.07)",0.200360531640804
"Ovary","0.06 (0.03-0.10)",0.00190404320193183
"Pancreas","0.10 (0.06-0.15)",2.25573824084083e-05
"Skin","0.04 (0.01-0.07)",0.0158789640851125
