"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.16 (0.07-0.25)",0.00127217753512349
"Brain","0.16 (0.08-0.24)",0.000217785821094482
"Cardiovascular","0.12 (0.03-0.21)",0.0150444035896506
"Endocrine","0.12 (0.05-0.18)",0.000867101043508921
"Gastrointestinal","0.21 (0.13-0.29)",7.2249164777008e-07
"Immune","0.19 (0.12-0.27)",1.22405765693439e-06
"Kidney_urinary","0.13 (0.07-0.19)",4.92341645013963e-05
"Liver","0.18 (0.10-0.26)",3.83653073377539e-05
"Lung","0.15 (0.07-0.22)",0.000658662023807267
"Muscle","0.03 (-0.01-0.08)",0.226579423872029
"Nerve","0.16 (0.06-0.26)",0.00454565185445649
"Pancreas","0.07 (0.00-0.13)",0.0638953699108931
"Prostate","0.10 (0.03-0.16)",0.00727346102987007
"Skin","0.16 (0.08-0.24)",0.000294783761908032
