"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.41 (-0.54--0.28)",4.29305350424879e-09
"Brain","-0.31 (-0.35--0.26)",3.57023469811037e-44
"Cardiovascular","-0.34 (-0.38--0.30)",1.62674583017187e-55
"Endocrine","-0.36 (-0.45--0.27)",2.65206837670583e-13
"Gastrointestinal","-0.30 (-0.34--0.25)",1.92231841260831e-42
"Immune","-0.36 (-0.40--0.32)",2.34834820550759e-61
"Kidney_urinary","-0.38 (-0.43--0.32)",2.04378444913074e-34
"Liver","-0.26 (-0.30--0.22)",7.11841151251532e-34
"Lung","-0.32 (-0.38--0.26)",4.00088975932102e-25
"Muscle","-0.26 (-0.40--0.12)",0.000842230364195013
"Nerve","-0.33 (-0.38--0.28)",3.23349320532165e-41
"Pancreas","-0.29 (-0.34--0.25)",1.06908257236201e-34
"Prostate","-0.23 (-0.27--0.19)",5.76641074414929e-27
"Skin","-0.33 (-0.40--0.27)",2.86429720700883e-24
