"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.90 (0.80-1.02)",0.200152801606994
"Brain","0.84 (0.74-0.94)",0.016546233044497
"Cardiovascular","0.91 (0.80-1.03)",0.212873638720924
"Endocrine","0.87 (0.77-0.98)",0.0599655806656413
"Gastrointestinal","0.92 (0.82-1.05)",0.299757259807707
"Immune","0.92 (0.82-1.04)",0.254644003862719
"Kidney_urinary","0.87 (0.77-0.98)",0.0599655806656413
"Liver","0.87 (0.77-0.98)",0.0603554812718027
"Lung","0.91 (0.81-1.02)",0.211654758668657
"Muscle","0.89 (0.77-1.03)",0.211654758668657
"Nerve","0.94 (0.84-1.06)",0.458745181323118
"Pancreas","1.00 (0.89-1.13)",0.939140137946654
"Prostate","0.99 (0.88-1.11)",0.857604114913527
"Skin","0.87 (0.78-0.98)",0.0599655806656413
