"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.03 (-0.07-0.01)",0.123165727061522
"Brain","-0.02 (-0.05-0.01)",0.305399108580181
"Cardiovascular","0.00 (-0.03-0.04)",0.967729991249444
"Endocrine","0.00 (-0.03-0.03)",0.854685037931433
"Gastrointestinal","-0.03 (-0.06-0.00)",0.110704546636148
"Immune","-0.02 (-0.05-0.01)",0.312006032041483
"Kidney_urinary","0.00 (-0.03-0.04)",0.889427764279151
"Liver","-0.03 (-0.06-0.01)",0.155202558180717
"Lung","-0.02 (-0.05-0.01)",0.34178708825313
"Muscle","-0.00 (-0.03-0.03)",0.990011425654987
"Nerve","-0.01 (-0.05-0.02)",0.517075135119924
"Pancreas","-0.01 (-0.04-0.02)",0.633996799575817
"Prostate","-0.05 (-0.08--0.01)",0.0137712658282712
"Skin","-0.00 (-0.03-0.03)",0.903380723414951
