"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (0.02-0.11)",0.0156059564966518
"Brain","0.16 (0.11-0.21)",2.19424821035319e-09
"Cardiovascular","0.21 (0.15-0.26)",3.04041252631003e-12
"Endocrine","0.16 (0.10-0.22)",7.33946109795205e-07
"Gastrointestinal","0.16 (0.11-0.22)",2.98928683299406e-07
"Immune","0.12 (0.07-0.17)",1.04274271051103e-05
"Kidney_urinary","0.21 (0.15-0.28)",4.10615572518094e-11
"Liver","0.16 (0.10-0.21)",4.17234893732862e-08
"Lung","0.13 (0.08-0.18)",5.32927616847289e-06
"Muscle","0.09 (0.02-0.15)",0.0133115348548596
"Nerve","0.12 (0.07-0.17)",1.27102334992306e-05
"Pancreas","0.13 (0.08-0.18)",6.61320362482725e-06
"Prostate","0.11 (0.06-0.16)",0.00016984373119167
"Skin","0.12 (0.07-0.17)",2.20609148954546e-05
