"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.03 (-0.00-0.07)",0.114026969617558
"Brain","0.07 (0.03-0.12)",0.00164649694005711
"Cardiovascular","0.02 (-0.02-0.06)",0.448627522392978
"Endocrine","0.08 (0.02-0.15)",0.0168042577658655
"Gastrointestinal","0.06 (0.02-0.11)",0.0108652148887431
"Immune","0.06 (0.01-0.10)",0.0190076286604358
"Kidney_urinary","0.14 (0.08-0.19)",2.0429077819864e-05
"Liver","0.06 (0.02-0.10)",0.0122764413483203
"Lung","0.05 (0.00-0.09)",0.0563036810284867
"Muscle","0.01 (-0.03-0.05)",0.658255111207518
"Nerve","0.02 (-0.02-0.06)",0.424930347888464
"Pancreas","0.06 (0.01-0.11)",0.0203101850044895
"Prostate","-0.04 (-0.08-0.00)",0.108388202621391
"Skin","0.09 (0.05-0.13)",2.69615590911422e-05
