"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.02 (-0.02-0.05)",0.438812590255968
"Brain","0.08 (0.04-0.12)",0.000712185381020548
"Cardiovascular","0.06 (0.01-0.10)",0.0191585102614596
"Endocrine","0.07 (0.03-0.11)",0.00239551946163089
"Gastrointestinal","0.08 (0.03-0.13)",0.00370258898071048
"Immune","0.07 (0.03-0.11)",0.00340139163701485
"Kidney_urinary","0.11 (0.07-0.16)",6.26099220069783e-06
"Liver","0.03 (-0.01-0.07)",0.172659603968936
"Lung","0.02 (-0.02-0.06)",0.441141200188738
"Muscle","0.02 (-0.01-0.06)",0.235138486479729
"Nerve","0.01 (-0.03-0.05)",0.710790855861316
"Pancreas","0.12 (0.08-0.17)",9.0305504148603e-08
"Prostate","-0.01 (-0.04-0.02)",0.651481641171799
"Skin","0.03 (-0.02-0.07)",0.261193197095234
