"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.05 (-0.09--0.01)",0.0140639695204387
"Brain","0.05 (0.01-0.09)",0.0348234339492184
"Cardiovascular","-0.01 (-0.05-0.03)",0.836865754084671
"Endocrine","-0.00 (-0.04-0.03)",0.848898554948164
"Gastrointestinal","0.00 (-0.04-0.04)",0.93650483367709
"Immune","0.05 (0.00-0.09)",0.0537989640584259
"Kidney_urinary","0.02 (-0.02-0.06)",0.361377528059241
"Liver","-0.01 (-0.06-0.03)",0.596980322574385
"Lung","-0.04 (-0.08--0.00)",0.0638953699108931
"Muscle","0.01 (-0.03-0.04)",0.836865754084671
"Nerve","-0.06 (-0.10--0.02)",0.00780204152545287
"Pancreas","0.00 (-0.04-0.04)",0.910673808807545
"Prostate","-0.04 (-0.08-0.00)",0.0919672390599755
"Skin","-0.02 (-0.06-0.02)",0.365340931634884
