"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.02 (-0.05-0.01)",0.162999524238876
"Brain","0.04 (0.01-0.07)",0.0164895489618523
"Cardiovascular","0.00 (-0.03-0.04)",0.83063089732273
"Endocrine","-0.02 (-0.05-0.01)",0.171903371997925
"Gastrointestinal","-0.06 (-0.09--0.03)",8.75020108172955e-05
"Immune","0.06 (0.03-0.09)",0.000338622357896038
"Kidney_urinary","0.04 (0.01-0.07)",0.0264516388331048
"Liver","0.05 (0.01-0.08)",0.0137813392664336
"Lung","-0.08 (-0.11--0.05)",6.62495227664157e-07
"Muscle","0.10 (0.07-0.13)",1.28269517070142e-10
"Nerve","-0.01 (-0.04-0.02)",0.438576815693538
"Ovary","-0.05 (-0.09--0.01)",0.0137813392664336
"Pancreas","-0.01 (-0.03-0.02)",0.750545957773944
"Prostate","-0.06 (-0.11--0.02)",0.0103864520903685
"Skin","0.02 (-0.01-0.05)",0.205870349258516
