"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.05 (-0.08--0.02)",0.000349090872928714
"Brain","-0.06 (-0.09--0.03)",7.77128340822677e-05
"Cardiovascular","-0.06 (-0.09--0.03)",5.38033165040309e-05
"Endocrine","-0.07 (-0.10--0.04)",2.81872776444355e-06
"Gastrointestinal","-0.10 (-0.13--0.07)",2.74407622062544e-11
"Immune","-0.06 (-0.08--0.03)",0.000295643294337863
"Kidney_urinary","-0.10 (-0.13--0.07)",6.94668040028584e-11
"Liver","-0.11 (-0.14--0.08)",2.47078288093102e-13
"Lung","-0.03 (-0.06--0.00)",0.0377535393426085
"Muscle","-0.00 (-0.03-0.03)",0.920900486012878
"Nerve","-0.05 (-0.08--0.03)",0.000317515756074232
"Ovary","-0.02 (-0.06-0.01)",0.267038282961116
"Pancreas","-0.03 (-0.05-0.00)",0.107616539368119
"Prostate","-0.07 (-0.11--0.02)",0.00389604917837355
"Skin","-0.04 (-0.07--0.02)",0.00430635521874738
