"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (0.03-0.09)",0.000680812157662078
"Brain","0.12 (0.08-0.15)",5.41409680548663e-12
"Cardiovascular","0.15 (0.11-0.18)",4.87190813817486e-16
"Endocrine","0.12 (0.09-0.16)",2.50307015891053e-10
"Gastrointestinal","0.13 (0.09-0.16)",3.76918742755235e-11
"Immune","0.12 (0.08-0.15)",5.90362718704086e-11
"Kidney_urinary","0.18 (0.14-0.22)",3.8535323271787e-20
"Liver","0.12 (0.08-0.15)",2.38606979543487e-11
"Lung","0.12 (0.08-0.15)",4.02468311418628e-11
"Muscle","0.04 (0.01-0.08)",0.0125330699233368
"Nerve","0.07 (0.04-0.10)",7.72846450097511e-05
"Ovary","0.09 (0.04-0.14)",0.000665588996049663
"Pancreas","0.12 (0.09-0.16)",1.01686824233975e-11
"Prostate","0.11 (0.06-0.16)",0.000117899571953976
"Skin","0.10 (0.06-0.13)",2.27246851907424e-07
