"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.04 (0.02-0.06)",0.00121682021506652
"Brain","0.09 (0.06-0.12)",1.12841793860573e-07
"Cardiovascular","0.07 (0.04-0.10)",4.19416433112327e-06
"Endocrine","0.07 (0.04-0.10)",4.88410635917461e-06
"Gastrointestinal","0.08 (0.05-0.11)",1.30631306208379e-06
"Immune","0.09 (0.06-0.12)",7.88900105291086e-08
"Kidney_urinary","0.12 (0.09-0.15)",2.85751329278292e-15
"Liver","0.05 (0.02-0.08)",0.00250986214315466
"Lung","0.04 (0.02-0.07)",0.00416685418469815
"Muscle","0.06 (0.03-0.08)",1.31817520349764e-05
"Nerve","0.02 (-0.01-0.05)",0.201033533597164
"Ovary","0.06 (0.03-0.10)",0.0016130598554572
"Pancreas","0.12 (0.08-0.15)",3.1249763910864e-12
"Prostate","-0.01 (-0.04-0.02)",0.621895853925445
"Skin","0.04 (0.01-0.06)",0.0112854389550555
