"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.02 (-0.04-0.00)",0.0847877068256404
"Brain","0.01 (-0.01-0.03)",0.335266131050544
"Cardiovascular","-0.02 (-0.04-0.01)",0.170401616382633
"Endocrine","0.01 (-0.01-0.03)",0.268709631107419
"Gastrointestinal","-0.01 (-0.03-0.02)",0.640335973228839
"Immune","0.02 (0.00-0.04)",0.0590941921513483
"Kidney_urinary","0.03 (0.01-0.06)",0.00280477610023371
"Liver","-0.03 (-0.05--0.01)",0.0222716353881726
"Lung","-0.02 (-0.04--0.00)",0.0425857458467568
"Muscle","-0.00 (-0.02-0.02)",0.828437233146016
"Nerve","-0.04 (-0.06--0.02)",0.000101255154282869
"Ovary","-0.04 (-0.07--0.00)",0.0432527910601523
"Pancreas","0.02 (-0.00-0.04)",0.117279949110692
"Prostate","-0.03 (-0.07-0.01)",0.14926255137299
"Skin","-0.02 (-0.04-0.00)",0.138913174265636
