"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.15 (0.11-0.19)",6.94251977474169e-14
"Brain","0.17 (0.13-0.20)",5.33987673190646e-17
"Cardiovascular","0.14 (0.10-0.17)",6.7309232651893e-12
"Endocrine","0.11 (0.07-0.15)",3.50273322207584e-08
"Gastrointestinal","0.23 (0.20-0.27)",3.32398533843495e-33
"Immune","0.21 (0.17-0.25)",3.00236455812136e-27
"Kidney_urinary","0.11 (0.08-0.15)",1.37206263711962e-08
"Liver","0.24 (0.20-0.27)",1.89589258708133e-34
"Lung","0.17 (0.13-0.20)",1.85541930584043e-17
"Muscle","0.06 (0.02-0.10)",0.00503849754952927
"Nerve","0.21 (0.17-0.24)",4.30856028849342e-26
"Ovary","0.10 (0.05-0.15)",0.000238084827715752
"Pancreas","0.05 (0.01-0.09)",0.00980012429680695
"Prostate","0.09 (0.03-0.15)",0.00615436456958371
"Skin","0.20 (0.16-0.23)",1.74660662940195e-23
