"Organ","Effect Size (95% CI)","FDR"
"Adipose","-0.11 (-0.34-0.12)",0.552161426002731
"Brain","0.13 (-0.10-0.35)",0.502798846016216
"Cardiovascular","0.21 (-0.04-0.46)",0.316997483237857
"Endocrine","0.13 (-0.10-0.37)",0.502798846016216
"Gastrointestinal","0.36 (0.11-0.62)",0.063799286857183
"Immune","0.06 (-0.17-0.28)",0.71724230695239
"Kidney_urinary","0.20 (-0.04-0.44)",0.316997483237857
"Liver","0.19 (-0.06-0.44)",0.362921460612976
"Lung","0.09 (-0.13-0.32)",0.552161426002731
"Muscle","-0.09 (-0.32-0.14)",0.552161426002731
"Nerve","0.01 (-0.22-0.24)",0.94012579986957
"Ovary","0.43 (0.07-0.78)",0.0990515468051166
"Pancreas","0.10 (-0.14-0.34)",0.552161426002731
"Prostate","-0.71 (-1.25--0.18)",0.063799286857183
"Skin","-0.05 (-0.27-0.17)",0.71724230695239
