"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (0.02-0.09)",0.00253953308632916
"Brain","0.10 (0.07-0.14)",4.95811102815979e-08
"Cardiovascular","0.11 (0.07-0.15)",5.50778480718421e-09
"Endocrine","0.08 (0.05-0.12)",1.02835006076318e-05
"Gastrointestinal","0.09 (0.06-0.13)",9.0822173483279e-07
"Immune","0.12 (0.08-0.15)",9.20838797933003e-10
"Kidney_urinary","0.10 (0.07-0.14)",7.19215285969934e-08
"Liver","0.11 (0.07-0.14)",3.20194808675368e-08
"Lung","0.08 (0.05-0.12)",1.31027272482867e-05
"Muscle","0.08 (0.04-0.12)",3.73148650705018e-05
"Nerve","0.09 (0.05-0.12)",3.99388592201539e-06
"Ovary","0.06 (0.01-0.11)",0.031821183347432
"Pancreas","0.05 (0.01-0.08)",0.0121448804995148
"Prostate","0.07 (0.01-0.13)",0.0282821122303819
"Skin","0.06 (0.02-0.09)",0.0041552499149717
