"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (0.00-0.11)",0.0803002790042225
"Brain","0.07 (0.02-0.13)",0.023256425823199
"Cardiovascular","0.09 (0.04-0.15)",0.00307543010549994
"Endocrine","0.08 (0.03-0.14)",0.00998685077057194
"Gastrointestinal","0.12 (0.06-0.17)",0.00028406334937498
"Immune","0.10 (0.05-0.16)",0.00133538580447884
"Kidney_urinary","0.13 (0.07-0.19)",4.43866779942747e-05
"Liver","0.11 (0.05-0.16)",0.000662042837278926
"Lung","0.10 (0.04-0.15)",0.00280008120595349
"Muscle","0.02 (-0.03-0.08)",0.524835563160001
"Nerve","0.05 (-0.00-0.11)",0.0939202313924771
"Ovary","0.10 (0.03-0.17)",0.0189439828520763
"Pancreas","0.08 (0.02-0.13)",0.0165120381584469
"Prostate","-0.03 (-0.12-0.06)",0.582671555969635
"Skin","0.06 (0.00-0.12)",0.0759754231683695
