"Organ","Effect Size (95% CI)","FDR"
"Adipose","0.06 (0.01-0.12)",0.0550785252036748
"Brain","0.14 (0.08-0.19)",9.49454540932697e-06
"Cardiovascular","0.15 (0.10-0.21)",7.02481236210627e-07
"Endocrine","0.08 (0.02-0.14)",0.0129263445449292
"Gastrointestinal","0.18 (0.13-0.24)",1.92234435666801e-09
"Immune","0.14 (0.08-0.20)",7.3183015317343e-06
"Kidney_urinary","0.14 (0.08-0.20)",7.3183015317343e-06
"Liver","0.18 (0.12-0.23)",7.44789233866735e-09
"Lung","0.14 (0.08-0.20)",7.5170348470598e-06
"Muscle","0.04 (-0.02-0.09)",0.27936843311654
"Nerve","0.10 (0.05-0.16)",0.00124027536726831
"Ovary","0.13 (0.06-0.20)",0.00146595047456758
"Pancreas","0.12 (0.07-0.18)",0.00011086098489663
"Prostate","0.04 (-0.05-0.13)",0.493351839435121
"Skin","0.08 (0.02-0.13)",0.0194015451290527
