"Organ","OR (95% CI)","FDR"
"Adipose","1.34 (1.14-1.57)",0.000390715567626828
"Brain","1.60 (1.38-1.87)",7.9789653869443e-09
"Cardiovascular","1.56 (1.36-1.79)",5.21299142069779e-09
"Endocrine","1.24 (1.04-1.46)",0.0158922238849073
"Gastrointestinal","1.53 (1.28-1.82)",4.62637480580736e-06
"Immune","1.47 (1.28-1.70)",3.53608968381552e-07
"Kidney and Bladder","1.34 (1.16-1.55)",0.00012385416068074
"Liver","1.64 (1.40-1.92)",7.9789653869443e-09
"Lung","1.31 (1.11-1.54)",0.00186149221610677
"Muscle","1.30 (1.06-1.59)",0.0126127467756514
"Nerve","1.58 (1.35-1.85)",3.67861411684593e-08
"Ovary","1.45 (1.17-1.81)",0.00114430031731746
"Pancreas","1.44 (1.21-1.70)",5.89423005537039e-05
"Prostate","1.53 (1.23-1.90)",0.000195154381708709
"Skin","1.17 (0.98-1.38)",0.0764997636760125
