"Organ","OR (95% CI)","FDR"
"Adipose","1.13 (0.90-1.41)",0.681910948389916
"Brain","1.21 (0.98-1.49)",0.236621405968072
"Cardiovascular","1.21 (1.01-1.46)",0.236621405968072
"Endocrine","0.91 (0.70-1.19)",0.865065640223912
"Gastrointestinal","1.25 (0.97-1.60)",0.236621405968072
"Immune","1.31 (1.11-1.56)",0.026820712472325
"Kidney and Bladder","1.03 (0.82-1.29)",0.910007472613172
"Liver","1.01 (0.79-1.30)",0.910007472613172
"Lung","1.10 (0.88-1.36)",0.807809300579659
"Muscle","0.79 (0.63-1.00)",0.236621405968072
"Nerve","1.02 (0.78-1.34)",0.910007472613172
"Ovary","1.05 (0.68-1.63)",0.910007472613172
"Pancreas","0.97 (0.69-1.35)",0.910007472613172
"Prostate","NA (NA-NA)",NA
"Skin","1.07 (0.76-1.51)",0.910007472613172
